ligand_id,SMILES
0JK_4DEH_A_1401,[H]c1nc2c([H])c([H])c(C([H])([H])n3nnc4c3C(=O)N(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C4([H])[H])c([H])c2c([H])c1[H]
0JN_4GKI_I_302,[H]c1nc(N([H])[H])c2c(C([H])([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)nn(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2n1
0KF_3VO3_A_2001,[H]c1c([H])c(Oc2nn3c([H])c(N([H])C(=O)C4([H])C([H])([H])C4([H])[H])nc3c([H])c2[H])c([H])c(N([H])C(=O)c2c([H])c(C([H])([H])[H])nn2C([H])([H])[H])c1[H]
0N5_4E1K_A_505,[H]Oc1c(OC([H])([H])[H])c([H])c2c(N([H])c3c([H])c([H])c(N([H])C(=O)c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])nc([H])nc2c1[H]
0NH_4E4L_A_1201,[H]c1nc2c(c([H])c([H])n2[H])c2c1nc([H])n2C1(C([H])([H])[H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H]
0NH_4E4M_E_1201,[H]c1nc2c(c([H])c([H])n2[H])c2c1nc([H])n2C1(C([H])([H])[H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H]
0NJ_4E5D_A_601,[H]c1c([H])c([H])c(-c2nc3c([H])c([H])c(OC([H])([H])[H])c([H])c3s2)c(F)c1[H]
0NL_4E4N_B_1201,[H]c1nc2c(c([H])c([H])n2[H])c2c1nc([H])n2[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H]
0NS_4E96_A_201,[H]c1c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])N(C([H])([H])[H])C(=O)N3[H])c(OC([H])([H])[H])c1[H]
0NU_4E6D_B_1201,[H]c1nc2c(c([H])c([H])n2[H])c2c1nc([H])n2[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])C#N)C([H])([H])C([H])([H])C1([H])[H]
0NX_3VQ4_A_305,[H]OC([H])([H])c1noc(-c2c([H])c([H])c([H])c([H])c2[H])c1[H]
0O4_4EE0_A_202,[H]c1nc(-c2c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2c1[H]
0O5_4EDZ_D_202,[H]c1c([H])c(-c2nc(C([H])([H])[H])c([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
0O7_4EBV_A_700,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1-c1c([H])c([H])c2c(c1[H])-c1nn([H])c([H])c1S(=O)(=O)N2C([H])([H])[H]
0OC_4EFK_B_401,[H]c1sc([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]
0OC_4G5Y_B_403,[H]c1sc([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]
0OF_4E91_A_202,[H]Oc1c([H])c(-c2c([H])nc([H])c([H])c2[H])c([H])c([C@]2([H])C(=O)N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c(C(F)(F)F)c([H])c([H])c3N(C([H])([H])C([H])([H])[H])C2=O)c1[H]
0ON_4EH6_A_402,[H]c1nc([H])c(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
0OV_4EFE_A_404,[H]c1c([H])n(C([H])([H])C#N)c2nc(O[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])nc(N([H])[H])c2c1=O
0OY_4EGH_A_302,[H]Oc1c([H])c([H])c(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H]
0Q1_4GPJ_A_201,[H]O[C@]1(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c(-c3c(C([H])([H])[H])noc3C([H])([H])[H])c([H])c([H])c2C([H])([H])C1([H])[H]
0Q2_4EI4_B_1201,[H]O[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(n2c(C([H])([H])[H])nc3c([H])nc4c(c([H])c([H])n4[H])c32)C1([H])[H]
0QA_4EJI_A_502,[H]c1nc([H])c(C(=O)C([H])([H])C([H])([H])C([H])([H])N(N=O)C([H])([H])[H])c([H])c1[H]
0QR_4EPX_A_203,[H]c1c([H])c(S(=O)(=O)/N=c2\c([H])c([H])c([H])c(N([H])[H])n2[H])c([H])c([H])c1F
0QV_4EPW_A_203,[H]OC1([H])C([H])([H])C([H])([H])N(C(=S)c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)C([H])([H])C1([H])[H]
0QW_4EPT_A_203,[H]Oc1c([H])c([H])c([H])c([H])c1C(=S)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
0R4_4EJN_A_501,[H]c1nc(N([H])[H])c(-c2nc3c([H])c([H])c(-c4c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c4[H])nc3n2-c2c([H])c([H])c(C([H])([H])N([H])C(=O)c3c([H])c([H])c([H])c(F)c3[H])c([H])c2[H])c([H])c1[H]
0SW_4F7S_A_501,[H]c1nc(N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2n1
0U8_4FFG_A_602,[H]OC([H])([H])[C@@]12OC([H])([H])[C@@]3([H])O[C@@](C([H])([H])O[H])(OC([H])([H])[C@@]([H])(O1)[C@@]([H])(O[H])[C@]2([H])O[H])[C@@]([H])(O[H])[C@]3([H])O[H]
0UB_4FFI_B_602,[H]OC([H])([H])[C@@]1(O[H])O[C@]([H])(C([H])([H])O[C@]2(C([H])([H])O[H])O[C@]([H])(C([H])([H])O[C@]3(C([H])([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]3([H])O[H])[C@@]([H])(O[H])[C@]2([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
0UJ_4FK6_A_1201,[H]c1nc2c(c([H])c([H])n2[H])c2c1nc(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])n2[C@]1([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])[C@]1([H])C2([H])[H]
0UP_4FM7_A_501,[H]Oc1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])[C@@]3(N(c4c([H])c([H])c([H])c(F)c4[H])S(=O)(=O)N(C([H])([H])[H])C3([H])[H])C([H])([H])[C@]2([H])C([H])([H])[H])c([H])c1OC([H])(C([H])([H])[H])C([H])([H])[H]
0UQ_4FM8_A_501,[H]c1c([H])c(F)c([H])c(N2[C@]3(C([H])([H])N(C([H])([H])[H])S2(=O)=O)C([H])([H])C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c2[H])[C@@]([H])(C([H])([H])[H])C3([H])[H])c1[H]
0V4_4FR3_A_301,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@]2([H])C3=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])/C([H])=C3/[C@@]([H])(C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]3([H])[C@@]([H])(C([H])([H])[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
0V7_4FPH_A_701,[H]c1c([H])c(F)c([H])c(C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])S(=O)(=O)[O-])c1[H]
0VG_4FZ6_A_701,[H]c1nc2c(N([H])c3nc(N4C([H])([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])[H])c([H])c([H])c3[H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])nn2c1[H]
0VN_4G17_A_401,[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N([H])c1nc2c([H])c(C#N)c([H])c([H])c2n1[H]
0W8_4G28_R_1006,[H]c1c([H])c([H])c2c(c1[H])n([H])c(=O)n2C([H])([H])C([H])([H])[H]
0WB_4G3F_A_701,[H]Oc1c([H])c([H])c(F)c([H])c1N([H])c1nc(-c2c([H])c([H])c([H])c(C#N)c2[H])c([H])s1
0WE_4FS3_A_302,[H]c1nc2c(c([H])c1C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])c1oc3c([H])c([H])c([H])c([H])c3c1C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2[H]
0WE_4Q9N_B_302,[H]c1nc2c(c([H])c1C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])c1oc3c([H])c([H])c([H])c([H])c3c1C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2[H]
0X0_5Q0I_A_501,[H]c1c([H])c(N(C([H])([H])C(=O)N([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H]
0XR_4GQQ_A_503,[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c1O[H]
0XT_4GLW_B_402,[H]N([H])c1nc(N([H])[H])c2nc(C([H])([H])[H])c(OC([H])([H])[H])nc2n1
